name: 5df9ce68-9530-437c-b742-418db35f1dea num_items: 0
token, class_id, token_value, token_tf, token_df
рантье, @default_class, 0.0, 2.0, 1.0
рапида, @default_class, 0.0, 1.0, 1.0
ситифон, @default_class, 0.0, 1.0, 1.0
сто, @default_class, 0.0, 1.0, 1.0
импэкс, @default_class, 0.0, 5.0, 3.0
глаз_круглый, @default_class, 0.0, 1.0, 1.0
птичка, @default_class, 0.0, 1.0, 1.0
смоленское, @default_class, 0.0, 8.0, 5.0
пятерочка, @default_class, 0.0, 1.0, 1.0
посредством, @default_class, 0.0, 4.0, 1.0
око, @default_class, 0.0, 1.0, 1.0
магнитный_полоса, @default_class, 0.0, 1.0, 1.0
полянка, @default_class, 0.0, 1.0, 1.0
зацеплять, @default_class, 0.0, 1.0, 1.0
хамовато, @default_class, 0.0, 1.0, 1.0
льготный_условие, @default_class, 0.0, 1.0, 1.0
брелок, @default_class, 0.0, 4.0, 1.0
танцевать, @default_class, 0.0, 2.0, 2.0
квази, @default_class, 0.0, 1.0, 1.0
кко, @default_class, 0.0, 1.0, 1.0
москомприват, @default_class, 0.0, 2.0, 2.0
комсомольск, @default_class, 0.0, 2.0, 1.0
завещательный, @default_class, 0.0, 2.0, 2.0
цок, @default_class, 0.0, 2.0, 1.0
люсиновский, @default_class, 0.0, 2.0, 1.0
русский_стандарт, @default_class, 0.0, 1.0, 1.0
джия, @default_class, 0.0, 3.0, 2.0
семьсот, @default_class, 0.0, 1.0, 1.0
ссудный_счет, @default_class, 0.0, 1.0, 1.0
добавочный_номер, @default_class, 0.0, 1.0, 1.0
плехановский, @default_class, 0.0, 1.0, 1.0
множественный, @default_class, 0.0, 1.0, 1.0
отпбанк, @default_class, 0.0, 1.0, 1.0
пилить, @default_class, 0.0, 8.0, 2.0
польша, @default_class, 0.0, 5.0, 4.0
безналичный_расчет, @default_class, 0.0, 1.0, 1.0
вебмани, @default_class, 0.0, 4.0, 2.0
в, @default_class, 0.0, 1.0, 1.0
мебельный, @default_class, 0.0, 2.0, 2.0
экономный, @default_class, 0.0, 1.0, 1.0
коллекшн, @default_class, 0.0, 1.0, 1.0
безуспешный_попытка, @default_class, 0.0, 1.0, 1.0
пенсионный_фонд, @default_class, 0.0, 2.0, 2.0
третьяковский, @default_class, 0.0, 4.0, 2.0
баланс_нулевой, @default_class, 0.0, 3.0, 3.0
скидочный, @default_class, 0.0, 1.0, 1.0
внимательно_изучать, @default_class, 0.0, 2.0, 2.0
бумага_ценный, @default_class, 0.0, 3.0, 2.0
мельком, @default_class, 0.0, 4.0, 3.0
вышестоящий_инстанция, @default_class, 0.0, 1.0, 1.0
ситибанка, @default_class, 0.0, 2.0, 2.0
оператор_сотовый, @default_class, 0.0, 1.0, 1.0
инвестсбербанк, @default_class, 0.0, 2.0, 1.0
василеостровский, @default_class, 0.0, 1.0, 1.0
переговоры_телефонный, @default_class, 0.0, 1.0, 1.0
горьковский, @default_class, 0.0, 1.0, 1.0
недостающий_сумма, @default_class, 0.0, 1.0, 1.0
заблочить, @default_class, 0.0, 2.0, 2.0
динар, @default_class, 0.0, 2.0, 2.0
досрочный_закрытие, @default_class, 0.0, 1.0, 1.0
картсч, @default_class, 0.0, 7.0, 4.0
разнообразие, @default_class, 0.0, 4.0, 2.0
хорошевский, @default_class, 0.0, 1.0, 1.0
софия, @default_class, 0.0, 1.0, 1.0
век_прошлый, @default_class, 0.0, 2.0, 2.0
фотоаппарат, @default_class, 0.0, 1.0, 1.0
бербанк, @default_class, 0.0, 2.0, 2.0
лимит_суточный, @default_class, 0.0, 1.0, 1.0
революционный, @default_class, 0.0, 4.0, 3.0
какой_перепуг, @default_class, 0.0, 1.0, 1.0
пробираться, @default_class, 0.0, 27.0, 4.0
мистика, @default_class, 0.0, 5.0, 4.0
киев, @default_class, 0.0, 7.0, 2.0
не_поступать, @default_class, 0.0, 4.0, 4.0
лицо_частный, @default_class, 0.0, 3.0, 2.0
каверзный, @default_class, 0.0, 6.0, 4.0
смена_старший, @default_class, 0.0, 1.0, 1.0
промокод, @default_class, 0.0, 3.0, 1.0
инвестбанк, @default_class, 0.0, 1.0, 1.0
различать, @default_class, 0.0, 23.0, 7.0
безнадежный, @default_class, 0.0, 3.0, 2.0
сетелем, @default_class, 0.0, 2.0, 1.0
